Epoch: 0 
itr: 78, G_loss : +0.184, D_loss_real : +0.580, D_loss_fake : +0.209
itr: 79, G_loss : -0.092, D_loss_real : +1.252, D_loss_fake : +0.000
itr: 80, G_loss : +0.219, D_loss_real : +0.299, D_loss_fake : +0.752
itr: 81, G_loss : -0.201, D_loss_real : +0.064, D_loss_fake : +1.274
itr: 82, G_loss : -0.002, D_loss_real : +0.696, D_loss_fake : +0.000
itr: 83, G_loss : -0.483, D_loss_real : +0.716, D_loss_fake : +0.855
itr: 84, G_loss : +0.171, D_loss_real : +0.528, D_loss_fake : +0.442
itr: 85, G_loss : -0.038, D_loss_real : +1.857, D_loss_fake : +0.000
itr: 86, G_loss : -1.213, D_loss_real : +0.377, D_loss_fake : +0.000
itr: 87, G_loss : +0.700, D_loss_real : +0.508, D_loss_fake : +0.215
itr: 88, G_loss : -0.004, D_loss_real : +0.726, D_loss_fake : +0.000
itr: 89, G_loss : +0.103, D_loss_real : +0.999, D_loss_fake : +0.000
itr: 90, G_loss : +0.120, D_loss_real : +0.544, D_loss_fake : +0.000
itr: 91, G_loss : -0.504, D_loss_real : +1.811, D_loss_fake : +0.605
itr: 92, G_loss : -0.839, D_loss_real : +0.034, D_loss_fake : +3.758
itr: 93, G_loss : +0.001, D_loss_real : +2.221, D_loss_fake : +0.446
itr: 94, G_loss : +0.597, D_loss_real : +0.311, D_loss_fake : +0.000
itr: 95, G_loss : +0.091, D_loss_real : +1.762, D_loss_fake : +0.201
itr: 96, G_loss : +0.409, D_loss_real : +0.094, D_loss_fake : +0.906
itr: 97, G_loss : +0.359, D_loss_real : +0.502, D_loss_fake : +0.348
itr: 98, G_loss : -0.219, D_loss_real : +0.359, D_loss_fake : +1.581
itr: 99, G_loss : +0.261, D_loss_real : +0.541, D_loss_fake : +0.000
itr: 100, G_loss : -1.185, D_loss_real : +3.655, D_loss_fake : +0.000
itr: 101, G_loss : -0.319, D_loss_real : +0.509, D_loss_fake : +1.197
itr: 102, G_loss : -0.033, D_loss_real : +0.211, D_loss_fake : +0.838
itr: 103, G_loss : +0.048, D_loss_real : +0.776, D_loss_fake : +0.299
itr: 104, G_loss : -0.740, D_loss_real : +0.000, D_loss_fake : +1.996
itr: 105, G_loss : -0.614, D_loss_real : +0.140, D_loss_fake : +1.514
itr: 106, G_loss : -0.057, D_loss_real : +0.234, D_loss_fake : +0.594
itr: 107, G_loss : -0.069, D_loss_real : +0.000, D_loss_fake : +4.432
itr: 108, G_loss : +0.357, D_loss_real : +0.115, D_loss_fake : +0.696
itr: 109, G_loss : -1.281, D_loss_real : +0.000, D_loss_fake : +7.962
itr: 110, G_loss : -0.862, D_loss_real : +0.891, D_loss_fake : +1.564
itr: 111, G_loss : -0.809, D_loss_real : +1.180, D_loss_fake : +1.124
itr: 112, G_loss : -0.412, D_loss_real : +0.159, D_loss_fake : +1.493
itr: 113, G_loss : +0.108, D_loss_real : +0.364, D_loss_fake : +0.472
itr: 114, G_loss : -0.218, D_loss_real : +0.380, D_loss_fake : +0.753
itr: 115, G_loss : +0.042, D_loss_real : +0.611, D_loss_fake : +0.000
itr: 116, G_loss : -0.296, D_loss_real : +1.987, D_loss_fake : +0.000
itr: 117, G_loss : -0.080, D_loss_real : +1.390, D_loss_fake : +0.000
itr: 118, G_loss : -1.498, D_loss_real : +1.394, D_loss_fake : +1.304
itr: 119, G_loss : +0.490, D_loss_real : +0.357, D_loss_fake : +0.458
itr: 120, G_loss : +0.044, D_loss_real : +0.965, D_loss_fake : +0.000
itr: 121, G_loss : +0.079, D_loss_real : +0.943, D_loss_fake : +0.020
itr: 122, G_loss : +0.065, D_loss_real : +1.047, D_loss_fake : +0.559
itr: 123, G_loss : +0.393, D_loss_real : +0.972, D_loss_fake : +0.101
itr: 124, G_loss : +0.050, D_loss_real : +0.381, D_loss_fake : +0.613
itr: 125, G_loss : +0.143, D_loss_real : +0.351, D_loss_fake : +0.000
itr: 126, G_loss : +0.170, D_loss_real : +0.434, D_loss_fake : +0.772
itr: 127, G_loss : +1.726, D_loss_real : +0.021, D_loss_fake : +0.910
itr: 128, G_loss : +0.200, D_loss_real : +0.329, D_loss_fake : +0.547
itr: 129, G_loss : +0.515, D_loss_real : +0.695, D_loss_fake : +0.186
itr: 130, G_loss : +0.085, D_loss_real : +2.432, D_loss_fake : +0.043
itr: 131, G_loss : -0.017, D_loss_real : +0.284, D_loss_fake : +0.772
itr: 132, G_loss : +0.424, D_loss_real : +0.243, D_loss_fake : +0.356
itr: 133, G_loss : +0.032, D_loss_real : +0.249, D_loss_fake : +0.000
itr: 134, G_loss : +0.060, D_loss_real : +0.664, D_loss_fake : +0.000
itr: 135, G_loss : +0.573, D_loss_real : +0.031, D_loss_fake : +0.233
itr: 136, G_loss : +0.076, D_loss_real : +0.229, D_loss_fake : +0.000
itr: 137, G_loss : -0.435, D_loss_real : +1.130, D_loss_fake : +0.000
itr: 138, G_loss : +0.424, D_loss_real : +0.193, D_loss_fake : +0.036
itr: 139, G_loss : +0.579, D_loss_real : +1.130, D_loss_fake : +0.000
itr: 140, G_loss : -0.116, D_loss_real : +2.840, D_loss_fake : +0.295
itr: 141, G_loss : -0.267, D_loss_real : +8.030, D_loss_fake : +0.000
itr: 142, G_loss : -0.052, D_loss_real : +0.542, D_loss_fake : +0.738
itr: 143, G_loss : +0.199, D_loss_real : +0.427, D_loss_fake : +0.012
itr: 144, G_loss : -0.068, D_loss_real : +0.821, D_loss_fake : +0.000
itr: 145, G_loss : -0.393, D_loss_real : +0.000, D_loss_fake : +1.955
itr: 146, G_loss : +0.156, D_loss_real : +0.764, D_loss_fake : +0.000
itr: 147, G_loss : -0.179, D_loss_real : +1.260, D_loss_fake : +0.000
itr: 148, G_loss : -0.330, D_loss_real : +0.180, D_loss_fake : +1.950
itr: 149, G_loss : +0.355, D_loss_real : +0.127, D_loss_fake : +0.762
itr: 150, G_loss : +0.230, D_loss_real : +0.835, D_loss_fake : +0.219
itr: 151, G_loss : +0.221, D_loss_real : +0.339, D_loss_fake : +0.281
itr: 152, G_loss : +0.136, D_loss_real : +1.093, D_loss_fake : +0.000
itr: 153, G_loss : +0.163, D_loss_real : +0.567, D_loss_fake : +0.489
itr: 154, G_loss : +0.153, D_loss_real : +0.527, D_loss_fake : +0.000
itr: 155, G_loss : +0.596, D_loss_real : +0.038, D_loss_fake : +0.549
itr: 156, G_loss : +0.412, D_loss_real : +0.235, D_loss_fake : +1.032
itr: 157, G_loss : +0.192, D_loss_real : +0.245, D_loss_fake : +0.123
itr: 158, G_loss : +0.307, D_loss_real : +0.732, D_loss_fake : +0.000
itr: 159, G_loss : +0.084, D_loss_real : +0.875, D_loss_fake : +0.000
itr: 160, G_loss : +0.065, D_loss_real : +1.249, D_loss_fake : +0.000
itr: 161, G_loss : +0.456, D_loss_real : +0.510, D_loss_fake : +0.002
itr: 162, G_loss : -0.002, D_loss_real : +0.074, D_loss_fake : +1.586
itr: 163, G_loss : -0.335, D_loss_real : +4.234, D_loss_fake : +0.281
itr: 164, G_loss : -0.147, D_loss_real : +0.108, D_loss_fake : +1.345
itr: 165, G_loss : +0.200, D_loss_real : +0.714, D_loss_fake : +0.512
itr: 166, G_loss : -0.230, D_loss_real : +1.385, D_loss_fake : +0.948
itr: 167, G_loss : +0.058, D_loss_real : +1.064, D_loss_fake : +0.000
